H2CO transitions, v-integrated line intensity (K km/s)
----	 I_GMC.1	 I_GMC.2	 I_GMC.3	 I_GMC.4	 I_GMC.5	 I_GMC.6	 I_GMC.7	 I_GMC.8	 I_GMC.9	 I_GMC.10	 I_GMC.1a	 I_GMC.1b	 I_GMC.2a	 I_GMC.2b	 I_GMC.8p	 I_GMC.9p (Kkm/s) 
	34.67501204	28.39041917	104.07399907	108.10378676	55.40593825	143.93632880	127.36433038	41.05731243	43.91986097	10.67345265	53.47070300	30.62630662	25.54710030	33.97602538	48.01948560	46.75873592
	12.66651818	8.02908043	46.02086144	60.91633560	33.12381098	76.84025392	54.33824596	14.20368861	16.77197945	2.86710256	22.09699434	11.57110794	6.70006030	10.72125811	16.90332432	18.45734618
	8.33936975	4.52497812	42.49288229	56.77941337	32.71659133	74.26025399	43.16126789	10.68623571	13.48863140	2.02793825	15.95833101	8.53484059	3.83954391	7.13566925	13.22589537	14.51825855
	0.60177286	-0.48122542	7.12971544	12.13161712	8.87803280	15.74951549	5.14210663	0.41680499	0.46743056	-0.21783941	0.87345501	-0.44253611	-0.89453940	-0.34933604	0.72705717	0.63133541
	2.22779600	1.10222403	15.64318045	26.25143558	17.70446289	36.70828579	14.89480252	2.49132128	3.13997992	0.65695163	5.16033726	2.22731619	-0.23004169	1.61282434	3.57047027	3.84843031
	0.38811346	-0.36341919	8.81669225	13.23634389	7.05706503	17.09989106	5.87256476	0.63079180	1.17111657	-0.55254537	1.00138747	0.34680279	-0.85948373	0.39455674	0.98812044	1.62506075
	4.67488680	1.16110335	27.62353803	40.71105961	27.36385647	54.65340411	24.06725710	4.29769752	6.52985316	0.94486510	10.50875280	4.44140475	1.18447410	2.52619558	5.84161257	7.13167993
	-0.30005269	-0.30005269	5.79269606	9.33950514	7.92227771	14.05189613	1.50418464	-0.30895826	-0.30895826	-0.30895826	-0.30895826	-0.30895826	-0.30895826	-0.30895826	-0.30895826	-0.30895826
	-0.96378039	-0.52187483	4.74008884	8.59363650	3.91012261	13.81170343	2.48565525	-0.34055663	-0.55605367	-0.54735459	0.66889360	-0.59018708	-0.57544207	-0.57544207	0.46246814	-0.45179692
