H2CO transitions, v-integrated line intensity (K km/s)
----	 I_GMC.1	 I_GMC.2	 I_GMC.3	 I_GMC.4	 I_GMC.5	 I_GMC.6	 I_GMC.7	 I_GMC.8	 I_GMC.9	 I_GMC.10	 I_GMC.1a	 I_GMC.1b	 I_GMC.2a	 I_GMC.2b	 I_GMC.8p	 I_GMC.9p (Kkm/s) 
	5.20371764	4.26144189	15.61187694	16.21632434	8.31243417	21.59103673	19.10531340	6.16056636	6.58984055	1.60901065	8.02216880	4.59670591	3.83533609	5.09880976	7.20464428	7.01561840
	1.90075215	1.20552976	6.90333082	9.13760432	4.96886784	11.52616432	8.15091540	2.13120641	2.51635612	0.43347390	3.31498315	1.73650427	1.00643948	1.60906338	2.53605967	2.76912740
	1.25286866	0.68219971	6.37429696	8.51718788	4.90798948	11.13925623	6.47456547	1.60438462	2.02445568	0.31216567	2.39475308	1.28212261	0.58008804	1.07254337	1.98508148	2.17885423
	0.19443943	0.16040847	1.07186613	1.82117482	1.33375128	2.36356835	0.77480376	0.09776569	0.10093920	0.68886871	0.15019415	0.14751204	0.29817980	0.11644535	0.13124665	0.12009427
	0.34810505	0.19553655	2.34751186	3.93833883	2.65663633	5.50670397	2.23535653	0.38074960	0.47618154	0.19875163	0.77732388	0.34278419	0.66848564	0.25661808	0.54023777	0.58164633
	0.11729540	0.12113973	1.32450504	1.98679979	1.06120233	2.56606297	0.88402255	0.12146772	0.19030102	0.18418179	0.16821391	0.09549097	0.28649458	0.10720032	0.16566337	0.25486563
	0.70406141	0.18475289	4.14398424	6.10697007	4.10506262	8.19825028	3.61063277	0.64756335	0.98141587	0.15511947	1.57754487	0.66915340	0.18828815	0.38391073	0.87843160	1.07158708
	0.93824791	0.93824791	0.87439319	1.40437415	1.19259146	2.11015608	0.24802014	0.93824791	0.93824791	0.93824791	0.93824791	0.93824791	0.93824791	0.93824791	0.93824791	0.93824791
	0.32126013	0.17395828	0.71633681	1.29202175	0.59332874	2.07367181	0.38335324	0.11351888	0.18535122	0.83609795	0.14487832	0.19672903	0.83609795	0.83609795	0.11294286	0.15059897
